Key,Id,English(en),Portuguese(pt),Russian(ru),Spanish(es)
"CreditsList",12728224317440,"<size=36><color=#ffffff>Credits</color></size>
<align=""flush""><gradient=""YellowOrange_Vertical"">
TMMarkus<space=7em>Director, Programmer and Animator
MikiSolor<space=13em>Modeler 3D and Animator

Marlon Italo<space=12em>Portuguese translation
_krytoi_kot__93669<space=10em>Russian translation
</gradient></align>
<size=26><color=#ffffff>Supporters</color></size>
<gradient=""GreenLightGreen_Vertical"">
Meyer Veloso<space=3em>Momo<space=3em>Eros<space=3em>ItsFunnyDog
Alfredo
</gradient>","<size=36><color=#ffffff>Créditos</color></size>
<align=""flush""><gradient=""YellowOrange_Vertical"">
TMMarkus<space=8em>Diretor, Programador e Animador
MikiSolor<space=14em>Modelador 3D e Animador

Marlon Italo<space=13em>Tradução portuguesa
_krytoi_kot__93669<space=13em>Tradução russa
</gradient></align>
<size=26><color=#ffffff>Doadores</color></size>
<gradient=""GreenLightGreen_Vertical"">
Meyer Veloso<space=3em>Momo<space=3em>Eros<space=3em>ItsFunnyDog
Alfredo
</gradient>","<size=36><color=#ffffff>Кредиты</color></size>
<align=""flush""><gradient=""YellowOrange_Vertical"">
TMMarkus<space=7em>Режиссер, программист и аниматор
MikiSolor<space=13em>3D-моделист и аниматор

Marlon Italo<space=12em>Португальский перевод
_krytoi_kot__93669<space=12em>Русский перевод
</gradient></align>
<size=26><color=#ffffff>Доноры</color></size>
<gradient=""GreenLightGreen_Vertical"">
Meyer Veloso<space=3em>Momo<space=3em>Eros<space=3em>ItsFunnyDog
Alfredo
</gradient>","<size=36><color=#ffffff>Créditos</color></size>
<align=""flush""><gradient=""YellowOrange_Vertical"">
TMMarkus<space=7em>Director, Programador y Animador
MikiSolor<space=12em>Modelador 3D y Animador

Marlon Italo<space=11em>Traducción portuguesa
_krytoi_kot__93669<space=12em>Traducción rusa
</gradient></align>
<size=26><color=#ffffff>Donantes</color></size>
<gradient=""GreenLightGreen_Vertical"">
Meyer Veloso<space=3em>Momo<space=3em>Eros<space=3em>ItsFunnyDog
Alfredo
</gradient>"
"DiedBy",37977506578432,"Died by:","Morto por:","Погиб от:","Te ha matado:"
"DoorHealth",41443402579968,"Door Health","Saúde da porta","Прочность Двери","Salud de la Puerta"
"English",3099931049984,"English","Inglês","Английский","Ingles"
"Exiting",40735886409728,"Exiting","Saíndo","Выход","Saliendo"
"Flash",41281707966464,"Flash","Flash","Вспышка","Flash"
"Fullscreen",2223166324736,"Fullscreen","Tela Cheia","Полный Экран","Pantalla Completa"
"Graphics",2085580570624,"Graphics","Gráficos","Графика","Gráficos"
"Hide",41213986734080,"Hide","Esconder","Спрятаться","Esconderse"
"Hold",41515561385984,"Hold","Segure","Удерживать","Mantener"
"Language",1866570792960,"Language","Linguagem","Язык","Idioma"
"Level",1277480796160,"Level","Nível","Уровень","Nivel"
"Monitor",7007151718400,"Monitor","Monitor","Монитор","Pantalla"
"MonitorMsg",2551475470336,"It is necessary to restart the game to apply the selected monitor.

Do you want to apply and restart?","É necessário reiniciar o jogo para aplicar o monitor selecionado

Você quer aplicar e reiniciar?","Необходимо перезапустить игру чтобы добавить выбранный монитор.

Хотите добавить и перезапустить?","Es necesario reiniciar el juego para aplicar la pantalla seleccionada.

¿Quieres aplicar y reiniciar?"
"NewGameMsg",1548927762432,"Are you sure you want to start a new game?

All your progress, including endings and game modes you have unlocked, will be erased.","Você tem certeza que quer começar um novo jogo?

Todo o seu progresso, incluindo finais e modos de jogo que você desbloqueou, serão apagados.","Вы уверенны  что хотите начать новую игру?

Весь ваш прогресс учитывая концовки и игровые режимы которые вы открыли будут стёрты.","¿Estás seguro de que quieres empezar una nueva partida?

Se borrará todo tu progreso, incluido finales y modos de juego que has desbloqueado."
"High",3404290719744,"High","Alto","Высоко","Alto"
"Low",3426973515776,"Low","Baixo","Низко","Bajo"
"Medium",3421881630720,"Medium","Médio","Средне","Medio"
"Ultra",3248774316032,"Ultra","Ultra","Ультра","Ultra"
"VeryHigh",3387488337920,"Very High","Muito Alto","Очень Высоко","Muy Alto"
"VeryLow",3843920887808,"Very Low","Muito Baixo","Очень Низко","Muy Bajo"
"QuitMsg",1414064111616,"Are you sure you want to exit the game?","Você tem certeza que quer sair do jogo?","Вы уверены, что хотите покинуть игру","¿Estás seguro que quieres salir del juego?"
"Resolution",2149094916096,"Resolution","Resolução","Разрешение","Resolución"
"Restarting",41150145232896,"Restarting","Reiniciando","Перезапуск","Reiniciando"
"Shock",41409378385920,"Shock","Choque","Шокер","Descarga"
"Skipping",40808946991104,"Skipping","Pulando","Пропустить","Omitiendo"
"Spanish",3186501484544,"Spanish","Espanhol","Испанский","Español"
"Volume",2368645758976,"Volume","Volume","Звук","Volumen"
"VSync",2336047628288,"VSync","VSync","Vsinc","VSync"
"WarningMsg",26582178201600,"<size=45>WARNING!!!</size>

This game contains flashing lights, loud noises and lots of jumpscares!","<size=45>AVISO!!!</size>

Este jogo contém luzes piscando, barulhos altos e muitos Jumpscares!","<size=45>ВНИМАНИЕ!!!</size>

Эта игра содержит мигающие огни,громкие звуки,и скримеры!","<size=45>¡¡¡ADVERTENCIA!!!</size>

¡Este juego contiene luces intermitentes, ruidos fuertes y muchos sustos!"
"SkipMsg",40870867501056,"Hold <sprite=""Enter Key"" name=""Enter Key""> or <sprite=""Right Click"" name=""Right Click""> to skip","Mantenha pressionado <sprite=""Enter Key"" name=""Enter Key""> ou <sprite=""Right Click"" name=""Right Click""> para pular","Удерживайте <sprite=""Enter Key"" name=""Enter Key""> или <sprite=""Right Click"" name=""Right Click""> для пропуска","Mantén <sprite=""Enter Key"" name=""Enter Key""> o <sprite=""Right Click"" name=""Right Click""> para omitir"
"Move",3870440456585216,"Move","Mover","Двигаться","Moverse"
"BetaMsg",27161149338943488,"This game is in BETA phase.
If you experience any bugs or errors, please report them using the ""Report Bug"" button","Este jogo está na fase BETA. Se você encontrar algum bug ou erro, por favor, relate usando o botão ""Reportar Bug"".","Эта игра находится в БЕТА фазе.
Если вы нашли баги или ошибки,пожалуйста сообщите о них используя ""Сообщить о Баге""","Este juego está en fase BETA.
Si experimentas algún bug o error, por favor repórtalo usando el botón ""Reportar Error"""
"Mobile/SkipMsg",27230394039009280,"Touch and Hold to skip","Toque e Segure para pular","Нажмите и удерживайте чтобы пропустить","Toca y Manten para omitir"
"Potato",52009821264281600,"Potato","Batata","Картошка","Patata"
"OutdatedVersion",59364567386435584,"Outdated Version","Versão Desatualizada","Устаревшая версия","Versión Desactualizada"
"OutdatedVersionMsg",59364721803931648,"You are using an outdated version of the game, please update it to get the latest changes and fixes.","Você está usando uma versão desatualizada do jogo. Atualize-a para obter as alterações e correções mais recentes","Вы пользуетесь устаревшей версией игры,пожалуйста обновите её до последней версии с исправлениями и изменениями.","Estás usando una versión desactualizada del juego, por favor actualízala para obtener los últimos cambios y arreglos."
"Changelog",59372337481396224,"Changelog","Registro de alterações","Журнал изменений","Lista de Cambios"
"AfterFright",59574572391870464,"After Fright","After Fright","After fright","After Fright"
"Achievements",72294592784121856,"Achievements","Conquistas","Достижения","Logros"
"SelectLevel",88890305236283392,"Select Level","Selecionar Nível","Выбрать уровень","Seleccionar Nivel"
"SupportUs",93604179999043584,"Support Us","Apoie-nos","Поддержать нас","Apoyanos"
"Play",93608453944487936,"Play","Jogar","Играть","Jugar"
"HighFps",108297751545581568,"High FPS
<size=10><color=#FFC300FF>(High Consume)</color></size>","FPS Alto
<size=10><color=#FFC300FF>(Alto Consumo)</color></size>","Высокий FPS
<size=10><color=#FFC300FF>(Высокое Потребление)</color></size>","Altos FPS
<size=10><color=#FFC300FF>(Alto Consumo)</color></size>"
"Sound3D",120847967288930304,"Sound 3D","Som 3D","3D Звук","Sonido 3D"
"Search",138302404957290496,"Search","Procurar","Искать","Buscar"
"Portuguese",141829046875303936,"Portuguese","Português","португальский","Portugués"
"Russian",141829096988848128,"Russian","Russo","Русский","Ruso"
